Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
08/28/2021 00:17:14.275	WINWORD (0x7A0)	0x9A4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.GUIDsToScanFromService","Flags":28147506277843201,"InternalSequenceNumber":24,"Time":"2021-08-28T00:17:14.275Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.1.10.1","Activity.Duration":46,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.RetrievedFromServiceStatus":0}	
08/28/2021 00:17:14.275	WINWORD (0x7A0)	0x9A4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Security.ActivationFilter.ParseAndGetGUIDs","Flags":28147506277843201,"InternalSequenceNumber":25,"Time":"2021-08-28T00:17:14.275Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.1.10","Activity.Duration":211,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT"}	
08/28/2021 00:17:14.275	WINWORD (0x7A0)	0x9A4	Microsoft Word	ReactNativeModule	8b36e	Medium	Initialized ReactHostRegistry	
08/28/2021 00:17:14.276	WINWORD (0x7A0)	0x9A4	Microsoft Word	Floodgate Client	c9j94	Medium	[FloodgateClient] Liblet init	
08/28/2021 00:17:14.278	WINWORD (0x7A0)	0x9A4	Microsoft Word	Floodgate Client	ctrxi	Medium	Gatekeeper created	
08/28/2021 00:17:14.279	WINWORD (0x7A0)	0x9A4	Microsoft Word	Floodgate Client	ctrxf	Medium	Full FloodgateEngine created	
08/28/2021 00:17:14.280	WINWORD (0x7A0)	0x9A4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Telemetry.InitUngracefulReliabilityMetadata","Flags":28147506277843201,"InternalSequenceNumber":26,"Time":"2021-08-28T00:17:14.280Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.1.11","Activity.Duration":106,"Activity.Count":1,"Activity.AggMode":0,"Data.GetUAEInMs":0,"Data.UAECrashCount":0,"Data.UAEHangCount":0,"Data.UAEVecCount":0,"Data.UAEUnknownCount":0,"Data.UAETotalCount":0,"Data.GetWerCrashInMs":0,"Data.WerCrashCount":0,"Data.WerEventMaxSearchTimeInMs":21600000,"Data.WerCrashCorrelationCount":0,"Data.WerEventCorrelationCount":0,"Data.WerCrashOverrideCrashTypeCount":0,"Data.WerEventOverrideCrashTypeCount":0}	
08/28/2021 00:17:14.281	WINWORD (0x7A0)	0x144C	Microsoft Word	Identity Authentication Client	bx8n0	Monitorable	Getting active profile before background tasks are complete	
08/28/2021 00:17:14.281	WINWORD (0x7A0)	0x9A4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.System.GracefulExit.GracefulAppExitDesktop","Flags":33777014402039809,"InternalSequenceNumber":27,"Time":"2021-08-28T00:17:14.281Z","Data.PreviousAppMajor":16,"Data.PreviousAppMinor":0,"Data.PreviousAppBuild":14228,"Data.PreviousAppRevision":20250,"Data.PreviousSessionId":"86B95836-D725-4439-AF5D-AA6395B205C7","Data.PreviousSessionInitTime":"2021-08-27T23:43:30.099Z","Data.PreviousSessionUninitTime":"2021-08-28T00:08:54.691Z","Data.SessionFlags":7,"Data.InstallMethod":0,"Data.OfficeUILang":1046,"Data.PreviousBuild":"Unknown","Data.EcsETag":"\"Qz6wa/bQxZee7tsqoQ6UyLQDRgb/vqgXKxu5JCfS4MY=\"","Data.ProcessorArchitecture":"x64"}	
08/28/2021 00:17:14.281	WINWORD (0x7A0)	0x9A4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.System.GracefulExit.GracefulAppExitDesktop","Flags":33777014402039809,"InternalSequenceNumber":28,"Time":"2021-08-28T00:17:14.281Z","Data.PreviousAppMajor":16,"Data.PreviousAppMinor":0,"Data.PreviousAppBuild":14228,"Data.PreviousAppRevision":20250,"Data.PreviousSessionId":"226C89BD-221F-4D83-A225-4F4089D4B538","Data.PreviousSessionInitTime":"2021-08-28T00:08:44.696Z","Data.PreviousSessionUninitTime":"2021-08-28T00:15:48.302Z","Data.SessionFlags":7,"Data.InstallMethod":0,"Data.OfficeUILang":1046,"Data.PreviousBuild":"Unknown","Data.EcsETag":"\"Qz6wa/bQxZee7tsqoQ6UyLQDRgb/vqgXKxu5JCfS4MY=\"","Data.ProcessorArchitecture":"x64"}	
08/28/2021 00:17:14.282	WINWORD (0x7A0)	0x9A4	Microsoft Word	Branding liblet	c9t4s	Medium	Branding::RegisterSlapi {"Information":"g_slapi is assigned the value of slapi here"}	
08/28/2021 00:17:14.286	WINWORD (0x7A0)	0xFC4	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.FindAllWebAccountsAsync","Flags":28147523457712385,"InternalSequenceNumber":29,"Time":"2021-08-28T00:17:14.286Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.6","Activity.Duration":456,"Activity.Count":1,"Activity.AggMode":2,"Activity.AggInterval":1}	
08/28/2021 00:17:14.287	WINWORD (0x7A0)	0x144C	Microsoft Word	Identity Authentication Client	bx8n0	Monitorable	Getting active profile before background tasks are complete	
08/28/2021 00:17:14.288	WINWORD (0x7A0)	0x144C	Microsoft Word	Floodgate Client	71d3q	Medium	Survey deserialization succeeded	
08/28/2021 00:17:14.288	WINWORD (0x7A0)	0x144C	Microsoft Word	Floodgate Client	dek9n	Medium	User selected for survey {"SurveyFeatureName":"Microsoft.Office.Floodgate.Word.Surveys.10","SurveyId":"0e5088b7-93a3-412c-a016-bc460e07a1f1","UniqueId":"0e5088b7-93a3-412c-a016-bc460e07a1f1","ExpirationUTC":"2023-02-03T00:00:00.0000000"}	
08/28/2021 00:17:14.289	WINWORD (0x7A0)	0x144C	Microsoft Word	Floodgate Client	71d3u	Medium	Campaign deserialization succeeded {"ValidCampaignCount":1,"TotalCampaignCount":1}	
08/28/2021 00:17:14.289	WINWORD (0x7A0)	0x144C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Floodgate.Client.CampaignDefinitionHelper.IsCampaignValid","Flags":28147523457712385,"InternalSequenceNumber":30,"Time":"2021-08-28T00:17:14.289Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.7.1","Activity.Duration":52,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":592319318,"Data.CampaignId":"61309318-a641-493b-ba0b-3eeb6db8407e","Data.ExpirationUTC":"2021-06-15T23:59:59Z","Data.CampaignStatus":2}	
08/28/2021 00:17:14.289	WINWORD (0x7A0)	0x144C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Floodgate.Client.FileBasedCampaignDefinitionProvider.LoadDefinitions","Flags":28147523457712385,"InternalSequenceNumber":31,"Time":"2021-08-28T00:17:14.289Z","Contract":"Office.System.Activity","Activity.CV":"QWBYYWqhdEW/m0JBLoVG2Q.7","Activity.Duration":1598,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Activity.Result.Code":0,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":592319314,"Data.FileLoadResult":0,"Data.FileLoadTimeMs":0,"Data.NumCampaignsLoaded":0}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bfs2r	Medium	Starting NetCost	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":2,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	WebServiceApi	a9wuj	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - IgnoreUnrestrictedMetered specified - power cost check unnecessary"}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":3,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0xFC4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":3,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0xFC4	Microsoft Word	Netcost	9rawj	Medium	Registered NetCost listener	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":3,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.296	WINWORD (0x7A0)	0x9A4	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
08/28/2021 00:17:14.298	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":3,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.298	WINWORD (0x7A0)	0x9A4	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
08/28/2021 00:17:14.298	WINWORD (0x7A0)	0x9A4	Microsoft Word	Netcost	bhh8w	Medium	State transition {"oldState":3,"newState":3,"transitionAllowed":true,"wasTransitioning":false}	
08/28/2021 00:17:14.298	WINWORD (0x7A0)	0x9A4	Microsoft Word	WebServiceApi	a9wui	Monitorable	[ServiceApi] ServiceStatus {"Message":"GetCost returned ncLow - checking the network power cost"}	
